name,url,status,owner,repo,kind,archived,disabled,default_branch,pushed_at,last_pr_number,last_pr_created_at,last_pr_merged_at,latest_release_tag,latest_release_at,pushed_last_active_window,pr_last_active_window,release_last_active_window,last_event_at,classification,contributors_count,error
github_com_oeg_upm_cloud_helio_adapter,https://github.com/oeg-upm/Cloud_Helio_Adapter,processed,oeg-upm,Cloud_Helio_Adapter,project,False,False,main,2022-11-11T12:29:55+00:00,,,,,,False,False,False,2022-11-11T12:29:55+00:00,inactive,0,
github_com_oeg_upm_codemeta_crosswalk_mapping_methodology,https://github.com/oeg-upm/codemeta-crosswalk-mapping-methodology,processed,oeg-upm,codemeta-crosswalk-mapping-methodology,project,False,False,main,2025-05-26T07:37:57+00:00,13,2025-05-26T07:01:03+00:00,2025-05-26T07:35:30+00:00,,,False,False,False,2025-05-26T07:37:57+00:00,low_activity,0,
github_com_oeg_upm_cogito_construction_process_ontology,https://github.com/oeg-upm/cogito-construction-process-ontology,processed,oeg-upm,cogito-construction-process-ontology,project,False,False,master,2024-04-08T07:21:11+00:00,,,,release,2021-09-29T15:02:30+00:00,False,False,False,2024-04-08T07:21:11+00:00,inactive,0,
github_com_oeg_upm_cogito_data_repository,https://github.com/oeg-upm/cogito_data_repository,processed,oeg-upm,cogito_data_repository,project,False,False,main,2023-12-05T12:06:58+00:00,,,,,,False,False,False,2023-12-05T12:06:58+00:00,inactive,0,
github_com_oeg_upm_cogito_facility_ontology,https://github.com/oeg-upm/cogito-facility-ontology,processed,oeg-upm,cogito-facility-ontology,project,False,False,main,2024-04-08T10:01:31+00:00,,,,release_2,2021-12-17T21:12:19+00:00,False,False,False,2024-04-08T10:01:31+00:00,inactive,0,
github_com_oeg_upm_cogito_final_thing_manager,https://github.com/oeg-upm/cogito_final_thing_manager,processed,oeg-upm,cogito_final_thing_manager,project,False,False,main,2023-05-04T15:53:01+00:00,,,,,,False,False,False,2023-05-04T15:53:01+00:00,inactive,0,
github_com_oeg_upm_cogito_iot_ontology,https://github.com/oeg-upm/cogito-iot-ontology,processed,oeg-upm,cogito-iot-ontology,project,False,False,main,2024-04-08T07:37:03+00:00,,,,,,False,False,False,2024-04-08T07:37:03+00:00,inactive,0,
github_com_oeg_upm_cogito_kgg,https://github.com/oeg-upm/cogito-kgg,processed,oeg-upm,cogito-kgg,project,False,False,main,2021-12-10T14:24:25+00:00,,,,,,False,False,False,2021-12-10T14:24:25+00:00,inactive,0,
github_com_oeg_upm_cogito_kgg_module,https://github.com/oeg-upm/cogito-kgg-module,processed,oeg-upm,cogito-kgg-module,project,False,False,main,2022-01-11T15:50:17+00:00,,,,,,False,False,False,2022-01-11T15:50:17+00:00,inactive,0,
github_com_oeg_upm_cogito_platform_ontology,https://github.com/oeg-upm/cogito-platform-ontology,processed,oeg-upm,cogito-platform-ontology,project,False,False,main,2024-04-08T07:38:01+00:00,,,,,,False,False,False,2024-04-08T07:38:01+00:00,inactive,0,
github_com_oeg_upm_cogito_quality_ontology,https://github.com/oeg-upm/cogito-quality-ontology,processed,oeg-upm,cogito-quality-ontology,project,False,False,main,2024-04-08T10:12:29+00:00,,,,,,False,False,False,2024-04-08T10:12:29+00:00,inactive,0,
github_com_oeg_upm_cogito_relational_ddbb,https://github.com/oeg-upm/cogito-relational_ddbb,processed,oeg-upm,cogito-relational_ddbb,project,False,False,main,2021-12-09T17:01:58+00:00,,,,,,False,False,False,2021-12-09T17:01:58+00:00,inactive,0,
github_com_oeg_upm_cogito_resources_ontology,https://github.com/oeg-upm/cogito-resources-ontology,processed,oeg-upm,cogito-resources-ontology,project,False,False,master,2024-04-08T07:22:32+00:00,,,,release,2021-09-29T15:01:54+00:00,False,False,False,2024-04-08T07:22:32+00:00,inactive,0,
github_com_oeg_upm_cogito_safety_ontology,https://github.com/oeg-upm/cogito-safety-ontology,processed,oeg-upm,cogito-safety-ontology,project,False,False,main,2024-04-08T10:16:27+00:00,1,2024-03-04T13:47:55+00:00,,,,False,False,False,2024-04-08T10:16:27+00:00,inactive,0,
github_com_oeg_upm_cogito_sparql,https://github.com/oeg-upm/cogito-sparql,processed,oeg-upm,cogito-sparql,project,False,False,main,2023-04-20T10:05:59+00:00,,,,,,False,False,False,2023-04-20T10:05:59+00:00,inactive,0,
